%% LaTeX2e file `data/3cmleerDet.dat'
%% generated by the `filecontents' environment
%% from source `3cm-leer-gauss-plot' on 2015/11/14.
%%
x y dx
-6.321	0	0.3
-5.821	0	0.3
-5.321	0	0.3
-4.821	0	0.3
-4.321	0	0.3
-3.821	0	0.3
-3.321	2	0.3
-2.821	9	0.3
-2.321	39	0.3
-1.821	67	0.3
-1.321	89	0.3
-0.821	108	0.3
-0.321	119	0.3
0.179	119	0.3
0.679	115	0.3
1.179	91	0.3
1.679	72	0.3
2.179	43	0.3
2.679	25	0.3
3.179	8	0.3
3.679	2	0.3
4.179	0	0.3
4.679	0	0.3
5.179	0	0.3
5.679	0	0.3
6.179	0	0.3
6.679	0	0.3
7.179	0	0.3
7.679	0	0.3


