%% LaTeX2e file `data/3cmleerDet.dat'
%% generated by the `filecontents' environment
%% from source `3cm-leer-gauss-plot' on 2015/11/14.
%%
x y dx dy
22	-3	5	5
53	1	5	5
78	1	5	5
105	4	5	5
134	8	5	5
161	8	5	5
188	12	5	5
216	15	5	5
243	17	5	5
268	21	5	5
295	23	5	5
322	26	5	5
349	30	5	5
376	35	5	5
402	37	5	5
426	39	5	5
454	44	5	5
479	48	5	5
507	55	5	5
532	59	5	5
557	62	5	5
584	64	5	5
611	55	5	5
632	46	5	5
659	35	5	5
681	30	5	5
704	19	5	5
728	7	5	5
752	0	5	5
777	-8	5	5
801	-20	5	5
822	-26	5	5
848	-34	5	5
873	-47	5	5
896	-56	5	5
921	-65	5	5
937	-74	5	5
966	-85	5	5
994	-93	5	5
1012	-105	5	5
1035	-114	5	5
1059	-123	5	5

