%% LaTeX2e file `data/3cmleerDet.dat'
%% generated by the `filecontents' environment
%% from source `3cm-leer-gauss-plot' on 2015/11/14.
%%
x y dx dy
4	-2	5	5
27	-2	5	5
45	-2	5	5
65	4	5	5
82	4	5	5
100	6	5	5
121	10	5	5
138	13	5	5
156	16	5	5
176	16	5	5
193	22	5	5
214	24	5	5
228	27	5	5
249	30	5	5
265	33	5	5
282	36	5	5
299	39	5	5
316	45	5	5
335	49	5	5
355	51	5	5
372	57	5	5
390	59	5	5
405	63	5	5
425	66	5	5
440	72	5	5
456	75	5	5
473	82	5	5
488	84	5	5
507	91	5	5
521	96	5	5
539	101	5	5
558	108	5	5
577	112	5	5
595	112	5	5
611	108	5	5
625	94	5	5
637	84	5	5
648	68	5	5
660	57	5	5
676	47	5	5
686	34	5	5
699	19	5	5
713	6	5	5
725	-6	5	5
737	-16	5	5
749	-30	5	5
763	-41	5	5
774	-51	5	5
788	-65	5	5
798	-79	5	5
811	-92	5	5
823	-104	5	5
834	-116	5	5
851	-129	5	5
862	-141	5	5
874	-153	5	5


